,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2026-02-04T05:39:01.406+00:00, 0.241E+00,   0.24070, 0.38281E+01
      2,2026-02-04T05:39:01.488+00:00, 0.241E+00,   0.48141, 0.39062E+01
      3,2026-02-04T05:39:01.629+00:00, 0.241E+00,   0.72211, 0.40938E+01
      4,2026-02-04T05:39:01.715+00:00, 0.241E+00,   0.96282, 0.42344E+01
      5,2026-02-04T05:39:01.793+00:00, 0.241E+00,   1.20352, 0.42969E+01
      6,2026-02-04T05:39:01.915+00:00, 0.241E+00,   1.44422, 0.45000E+01
      7,2026-02-04T05:39:01.987+00:00, 0.241E+00,   1.68493, 0.45469E+01
      8,2026-02-04T05:39:02.065+00:00, 0.241E+00,   1.92563, 0.47031E+01
      9,2026-02-04T05:39:02.186+00:00, 0.241E+00,   2.16634, 0.48750E+01
     10,2026-02-04T05:39:02.269+00:00, 0.241E+00,   2.40704, 0.49375E+01
     20,2026-02-04T05:39:03.186+00:00, 0.206E+00,   4.74410, 0.61562E+01
     30,2026-02-04T05:39:04.144+00:00, 0.185E+00,   6.59534, 0.75312E+01
     40,2026-02-04T05:39:05.082+00:00, 0.157E+00,   8.38935, 0.89062E+01
     50,2026-02-04T05:39:06.105+00:00, 0.110E+00,   9.74987, 0.10562E+02
     60,2026-02-04T05:39:07.095+00:00, 0.121E+00,  10.89077, 0.12125E+02
     70,2026-02-04T05:39:07.994+00:00, 0.105E+00,  11.99074, 0.13391E+02
     80,2026-02-04T05:39:09.068+00:00, 0.113E+00,  13.07538, 0.15062E+02
     90,2026-02-04T05:39:11.022+00:00, 0.113E+00,  14.21016, 0.17953E+02
    100,2026-02-04T05:39:12.663+00:00, 0.125E+00,  15.42438, 0.20656E+02
    200,2026-02-04T05:39:28.343+00:00, 0.962E-01,  25.41321, 0.44766E+02
    300,2026-02-04T05:39:44.459+00:00, 0.879E-01,  34.16029, 0.68625E+02
    400,2026-02-04T05:40:00.002+00:00, 0.751E-01,  41.59709, 0.90844E+02
    500,2026-02-04T05:40:16.118+00:00, 0.732E-01,  48.87798, 0.11412E+03
    600,2026-02-04T05:40:30.789+00:00, 0.612E-01,  55.87614, 0.13519E+03
    700,2026-02-04T05:40:44.772+00:00, 0.601E-01,  62.61073, 0.15627E+03
    800,2026-02-04T05:40:58.638+00:00, 0.566E-01,  68.93238, 0.17605E+03
    900,2026-02-04T05:41:12.647+00:00, 0.576E-01,  75.03167, 0.19605E+03
   1000,2026-02-04T05:41:26.258+00:00, 0.605E-01,  81.26983, 0.21547E+03
   1100,2026-02-04T05:41:39.885+00:00, 0.666E-01,  87.56952, 0.23508E+03
   1200,2026-02-04T05:41:54.189+00:00, 0.627E-01,  93.95264, 0.25600E+03
   1300,2026-02-04T05:42:09.671+00:00, 0.716E-01, 100.39453, 0.27856E+03
   1400,2026-02-04T05:42:24.823+00:00, 0.610E-01, 106.74699, 0.30008E+03
   1500,2026-02-04T05:42:39.049+00:00, 0.667E-01, 113.21444, 0.32059E+03
   1600,2026-02-04T05:42:52.783+00:00, 0.687E-01, 119.93240, 0.34062E+03
   1700,2026-02-04T05:43:06.514+00:00, 0.606E-01, 126.04931, 0.36144E+03
   1800,2026-02-04T05:43:20.610+00:00, 0.644E-01, 132.24072, 0.38302E+03
   1900,2026-02-04T05:43:35.308+00:00, 0.589E-01, 138.90450, 0.40453E+03
   2000,2026-02-04T05:43:48.810+00:00, 0.710E-01, 145.32036, 0.42516E+03
   2100,2026-02-04T05:44:02.792+00:00, 0.651E-01, 151.94662, 0.44659E+03
   2200,2026-02-04T05:44:19.413+00:00, 0.610E-01, 158.35286, 0.47094E+03
   2300,2026-02-04T05:44:35.485+00:00, 0.652E-01, 164.90877, 0.49473E+03
   2400,2026-02-04T05:44:51.806+00:00, 0.690E-01, 171.34522, 0.51784E+03
   2500,2026-02-04T05:45:08.308+00:00, 0.689E-01, 177.91720, 0.54153E+03
   2600,2026-02-04T05:45:25.033+00:00, 0.651E-01, 184.40699, 0.56641E+03
   2700,2026-02-04T05:45:41.783+00:00, 0.737E-01, 190.83658, 0.59061E+03
   2800,2026-02-04T05:46:00.104+00:00, 0.757E-01, 197.56403, 0.61797E+03
   2900,2026-02-04T05:46:19.309+00:00, 0.638E-01, 203.74672, 0.64652E+03
   3000,2026-02-04T05:46:38.242+00:00, 0.597E-01, 210.53186, 0.67498E+03
   3100,2026-02-04T05:46:54.488+00:00, 0.710E-01, 216.67758, 0.69894E+03
   3200,2026-02-04T05:47:10.608+00:00, 0.567E-01, 222.80351, 0.72291E+03
   3300,2026-02-04T05:47:26.708+00:00, 0.688E-01, 228.94352, 0.74609E+03
   3400,2026-02-04T05:47:43.141+00:00, 0.684E-01, 235.25744, 0.77050E+03
   3500,2026-02-04T05:47:59.713+00:00, 0.633E-01, 241.55104, 0.79477E+03
   3600,2026-02-04T05:48:17.040+00:00, 0.637E-01, 248.16275, 0.82002E+03
   3700,2026-02-04T05:48:34.059+00:00, 0.664E-01, 254.79268, 0.84533E+03
   3800,2026-02-04T05:48:51.359+00:00, 0.681E-01, 261.14837, 0.87111E+03
   3900,2026-02-04T05:49:08.951+00:00, 0.649E-01, 267.52324, 0.89734E+03
   4000,2026-02-04T05:49:27.180+00:00, 0.705E-01, 274.08399, 0.92519E+03
   4100,2026-02-04T05:49:45.889+00:00, 0.600E-01, 280.72614, 0.95295E+03
   4200,2026-02-04T05:50:04.665+00:00, 0.588E-01, 287.38047, 0.98078E+03
   4300,2026-02-04T05:50:22.838+00:00, 0.679E-01, 293.83977, 0.10074E+04
   4396,2026-02-04T05:50:36.270+00:00, 0.307E-01, 300.00000, 0.10272E+04
